employee_id,first_name,last_name,full_name,email,city,department
3628,Ryan,Griffin,Ryan Griffin,Ryang@gmail.com,North Omarberg,BI
3692,Gordon,Toll,Gordon Toll,Gordont@gmail.com,Michelleville,BI
3646,Brenda,Portillo,Brenda Portillo,Brendap@gmail.com,Luceroville,Finance
2644,Effie,Rodriguez,Effie Rodriguez,Effier@gmail.com,Gabrielberg,Finance
3204,Spencer,Powell,Spencer Powell,Spencerp@gmail.com,North Cassiebury,Sales
3249,Joseph,Hansen,Joseph Hansen,Josephh@gmail.com,West Kelly,Finance
2719,Rose,Brown,Rose Brown,Roseb@gmail.com,Hunterville,Finance
2690,Joey,Grant,Joey Grant,Joeyg@gmail.com,South Danielle,Marketing
3658,Caleb,Rogers,Caleb Rogers,Calebr@gmail.com,Aprilville,Marketing
3426,Ruby,Moody,Ruby Moody,Rubym@gmail.com,Port Jeromemouth,Finance
2567,Paul,Fritz,Paul Fritz,Paulf@gmail.com,West Katherine,Sales
2846,Scott,Edwards,Scott Edwards,Scotte@gmail.com,Maxwellland,BI
471,Jackie,Pederson,Jackie Pederson,Jackiep@gmail.com,Lake Richard,Marketing
1693,Byron,Kostiuk,Byron Kostiuk,Byronk@gmail.com,Matthewborough,BI
1459,Evelyn,Barrera,Evelyn Barrera,Evelynb@gmail.com,Pattymouth,Marketing
1139,Sheila,Kuykendall,Sheila Kuykendall,Sheilak@gmail.com,East David,Sales
1766,Bruce,Silva,Bruce Silva,Bruces@gmail.com,Port Valerieberg,Sales
441,Juan,Fossum,Juan Fossum,Juanf@gmail.com,Port Connie,Sales
3068,Carlos,Lawrence,Carlos Lawrence,Carlosl@gmail.com,Martinezside,BI
736,Adrian,Whetstone,Adrian Whetstone,Adrianw@gmail.com,Carrillobury,Sales
97,Cynthia,Landry,Cynthia Landry,Cynthial@gmail.com,Frederickberg,Marketing
504,Tom,Ange,Tom Ange,Toma@gmail.com,East Christineside,Marketing
1696,Fay,Thornton,Fay Thornton,Fayt@gmail.com,Timothytown,Sales
3927,Anita,Esquivel,Anita Esquivel,Anitae@gmail.com,Robertsland,Marketing
3878,Amber,Newcomb,Amber Newcomb,Ambern@gmail.com,East Erin,Marketing
582,Daniel,Bates,Daniel Bates,Danielb@gmail.com,Lake Thomasborough,Sales
2432,Robert,Starch,Robert Starch,Roberts@gmail.com,Kingberg,BI
2999,Allen,Cooper,Allen Cooper,Allenc@gmail.com,West Jon,Sales
2755,Tina,Stephen,Tina Stephen,Tinas@gmail.com,East Steven,BI
2296,Peter,Harding,Peter Harding,Peterh@gmail.com,Scottburgh,Finance
3467,Ashley,Brown,Ashley Brown,Ashleyb@gmail.com,Jacobmouth,Marketing
764,Monica,Sato,Monica Sato,Monicas@gmail.com,West Brandi,Marketing
2862,Delia,Melchior,Delia Melchior,Deliam@gmail.com,Tranland,Marketing
800,Brenda,Bland,Brenda Bland,Brendab@gmail.com,Lake Roseside,Finance
3644,Eric,Russell,Eric Russell,Ericr@gmail.com,Lake Vanessachester,Sales
3141,Willie,Gardner,Willie Gardner,Willieg@gmail.com,Perezmouth,Sales
3287,Julie,Rosenthal,Julie Rosenthal,Julier@gmail.com,East Laceyfort,BI
1667,Daryl,Childers,Daryl Childers,Darylc@gmail.com,West Chelseybury,Sales
1957,Richard,Koester,Richard Koester,Richardk@gmail.com,West Shawnfort,Sales
3400,Sabrina,Ropp,Sabrina Ropp,Sabrinar@gmail.com,Lake Erica,BI
2788,Frank,Higgins,Frank Higgins,Frankh@gmail.com,North Robert,Finance
2241,Anthony,Jeffrey,Anthony Jeffrey,Anthonyj@gmail.com,Karlaborough,Sales
696,Charles,Butler,Charles Butler,Charlesb@gmail.com,South Brittany,Sales
3912,Roberto,Morris,Roberto Morris,Robertom@gmail.com,Higginsside,Finance
2159,Violette,Buzzelli,Violette Buzzelli,Violetteb@gmail.com,West Allen,Marketing
3018,Phillip,Apolo,Phillip Apolo,Phillipa@gmail.com,Lopeztown,Finance
566,Vanessa,Chadwick,Vanessa Chadwick,Vanessac@gmail.com,Hannahville,BI
1572,Blanca,Gargus,Blanca Gargus,Blancag@gmail.com,Johnsonburgh,BI
208,Amanda,Morales,Amanda Morales,Amandam@gmail.com,Hebertborough,Marketing
3067,Herb,Llamas,Herb Llamas,Herbl@gmail.com,South Samuel,BI
1919,Kori,Coleman,Kori Coleman,Koric@gmail.com,Ortizstad,Finance
46,Rigoberto,Deloatch,Rigoberto Deloatch,Rigobertod@gmail.com,South Monica,Marketing
3846,Harry,Montgomery,Harry Montgomery,Harrym@gmail.com,Nicholsonville,Marketing
896,Jonathan,Schmidt,Jonathan Schmidt,Jonathans@gmail.com,Lake Beckytown,Sales
2581,Jamal,Harris,Jamal Harris,Jamalh@gmail.com,West Cory,Finance
2264,Noah,Bryant,Noah Bryant,Noahb@gmail.com,Marcusburgh,BI
419,Morgan,Meng,Morgan Meng,Morganm@gmail.com,Duncanmouth,Finance
621,Jose,Bleakley,Jose Bleakley,Joseb@gmail.com,North Jessicamouth,Finance
3117,Donna,Barkan,Donna Barkan,Donnab@gmail.com,Jaredton,Marketing
1697,Robert,Briggs,Robert Briggs,Robertb@gmail.com,Lake Dylanville,Sales
1381,Jay,Fair,Jay Fair,Jayf@gmail.com,Port Jamesbury,Marketing
961,Lisa,Rodney,Lisa Rodney,Lisar@gmail.com,Obrienburgh,Sales
3154,Kenneth,Billings,Kenneth Billings,Kennethb@gmail.com,Nelsonberg,Marketing
743,Candace,Brookins,Candace Brookins,Candaceb@gmail.com,New Carol,Marketing
181,David,Sanchez,David Sanchez,Davids@gmail.com,North Kimberlymouth,Sales
3922,Howard,Dick,Howard Dick,Howardd@gmail.com,North Jessicamouth,Sales
2782,Richard,Sharpe,Richard Sharpe,Richards@gmail.com,Savageville,Finance
1882,Steven,Jackson,Steven Jackson,Stevenj@gmail.com,South Jameshaven,Marketing
1413,Betsy,Markle,Betsy Markle,Betsym@gmail.com,Bassberg,Finance
2052,Jose,Wilde,Jose Wilde,Josew@gmail.com,Brittanytown,Marketing
2645,Thomas,Vernon,Thomas Vernon,Thomasv@gmail.com,Emilystad,Marketing
3850,Edward,Bernhart,Edward Bernhart,Edwardb@gmail.com,New Roberthaven,Sales
1605,Naomi,Vicic,Naomi Vicic,Naomiv@gmail.com,Carpentertown,Sales
3403,Laurie,Kennedy,Laurie Kennedy,Lauriek@gmail.com,Hernandezland,BI
3132,Alfonso,Williams,Alfonso Williams,Alfonsow@gmail.com,Chrishaven,Finance
149,Crystal,Beaudry,Crystal Beaudry,Crystalb@gmail.com,Lake Johnside,Sales
3192,Tanya,Stahly,Tanya Stahly,Tanyas@gmail.com,West Cody,BI
3537,Daniel,Gibbons,Daniel Gibbons,Danielg@gmail.com,Gabrielchester,Sales
2512,Catherine,Mitchell,Catherine Mitchell,Catherinem@gmail.com,Port Kevin,Finance
3274,Marcos,Bower,Marcos Bower,Marcosb@gmail.com,East Holly,Finance
2922,David,Hackworth,David Hackworth,Davidh@gmail.com,Newmanberg,Sales
3870,John,Bradley,John Bradley,Johnb@gmail.com,Bernardport,Sales
59,Mary,Williams,Mary Williams,Maryw@gmail.com,Jeremyfurt,Sales
340,Bradley,Chastain,Bradley Chastain,Bradleyc@gmail.com,Lake Jacob,BI
591,Robert,Leone,Robert Leone,Robertl@gmail.com,Lake Briannabury,Sales
3408,Jolyn,White,Jolyn White,Jolynw@gmail.com,Smithhaven,Finance
499,Nicholas,Cannon,Nicholas Cannon,Nicholasc@gmail.com,East Christopher,Finance
1832,Susan,Gates,Susan Gates,Susang@gmail.com,Lake Jonathonfort,Finance
2437,Stephanie,Bryant,Stephanie Bryant,Stephanieb@gmail.com,East Sara,Marketing
1843,Deborah,Brown,Deborah Brown,Deborahb@gmail.com,Michaelberg,Marketing
2194,Mary,Wilson,Mary Wilson,Maryw@gmail.com,East Heather,Marketing
1478,Judie,Holm,Judie Holm,Judieh@gmail.com,Tammyberg,BI
2891,Francis,Senn,Francis Senn,Franciss@gmail.com,Taylorhaven,Marketing
2729,Michelle,Owen,Michelle Owen,Michelleo@gmail.com,Lake Nicolestad,Sales
1910,Frankie,Meres,Frankie Meres,Frankiem@gmail.com,Robertburgh,Sales
1883,Dennis,Lane,Dennis Lane,Dennisl@gmail.com,Brianborough,Finance
1870,Jesus,Scurry,Jesus Scurry,Jesuss@gmail.com,Patelchester,Marketing
1852,Peter,Mcknight,Peter Mcknight,Peterm@gmail.com,Matthewstad,BI
2316,Annie,Dahlheimer,Annie Dahlheimer,Annied@gmail.com,Andersonfurt,Sales
1503,Mary,Hagemann,Mary Hagemann,Maryh@gmail.com,West Katherinemouth,BI
