customer_id,first_name,last_name,full_name,email,street,four_digits,country_id,credit_provider_id
331961,Rodolfo,Brown,Rodolfo Brown,Rodolfob@gmail.com,2099 Jennifer Village,3958,0,0
513584,Verna,Martin,Verna Martin,Vernam@gmail.com,613 Aguilar River Suite 383,3178,1,1
977298,Nell,Weiser,Nell Weiser,Nellw@gmail.com,52053 Michelle Lights,9306,2,2
871231,Maribel,Knapp,Maribel Knapp,Maribelk@gmail.com,624 Sparks Vista,6707,3,1
529059,Carla,Shulman,Carla Shulman,Carlas@gmail.com,64618 Holmes Wells Suite 043,6330,4,3
738084,Edith,Hendrix,Edith Hendrix,Edithh@gmail.com,027 Vazquez Mountains Suite 053,2170,5,4
452399,Emma,Harris,Emma Harris,Emmah@gmail.com,2904 Gabriel Forks Suite 453,8163,6,4
346507,Carol,Mackey,Carol Mackey,Carolm@gmail.com,798 Daniel Rapids Apt. 904,1089,7,0
21764,Kyle,Brandon,Kyle Brandon,Kyleb@gmail.com,749 Klein Lodge,7326,8,2
977343,Beth,Thomas,Beth Thomas,Betht@gmail.com,101 Johnson Roads Apt. 624,8182,9,5
199117,Leonard,Hinds,Leonard Hinds,Leonardh@gmail.com,74636 Derek Shoals,9226,10,6
774748,Beverly,Williams,Beverly Williams,Beverlyw@gmail.com,2287 Patrick Mills,6412,11,7
407109,William,Bien,William Bien,Williamb@gmail.com,895 Jose Rapids Suite 103,4180,12,2
396711,Mara,Espinosa,Mara Espinosa,Marae@gmail.com,6149 Park Streets Apt. 922,5404,13,5
567533,Georgiana,Clark,Georgiana Clark,Georgianac@gmail.com,67328 John Lake,5021,14,5
673728,Carolyn,Au,Carolyn Au,Carolyna@gmail.com,5857 Ryan Garden Suite 877,6593,15,3
389040,Claude,Marsella,Claude Marsella,Claudem@gmail.com,0982 Dixon Stream Apt. 792,6661,16,4
825931,Fred,Rosenzweig,Fred Rosenzweig,Fredr@gmail.com,270 Lisa Junction,7250,17,5
