employee_id,first_name,last_name,full_name,email,city,department_id
3829,Nadine,Perlman,Nadine Perlman,Nadinep@gmail.com,New Marissa,0
3839,George,Scott,George Scott,Georges@gmail.com,South Jameschester,0
696,Hilaria,Nishiyama,Hilaria Nishiyama,Hilarian@gmail.com,East Cheryl,1
2470,Robert,Pilkenton,Robert Pilkenton,Robertp@gmail.com,Madisontown,2
3918,Tijuana,Hess,Tijuana Hess,Tijuanah@gmail.com,Port Laurafort,0
3933,Melissa,Bernard,Melissa Bernard,Melissab@gmail.com,West William,3
2078,Helen,Vieyra,Helen Vieyra,Helenv@gmail.com,Edwardsshire,1
787,Harold,Thier,Harold Thier,Haroldt@gmail.com,West Francisland,1
739,Norman,Poole,Norman Poole,Normanp@gmail.com,East Makayla,2
549,Charles,Liebl,Charles Liebl,Charlesl@gmail.com,Mcculloughchester,3
2628,Karen,Foster,Karen Foster,Karenf@gmail.com,Lake Carmenfurt,2
2495,Cathy,Williams,Cathy Williams,Cathyw@gmail.com,New Andrea,3
2335,Donella,Miller,Donella Miller,Donellam@gmail.com,Port Kelsey,3
1974,Theresa,Lewis,Theresa Lewis,Theresal@gmail.com,Lake Kimberly,2
246,Patricia,Rust,Patricia Rust,Patriciar@gmail.com,Smithton,0
3992,Teresa,Southworth,Teresa Southworth,Teresas@gmail.com,Christinaburgh,0
3868,Brenda,Miller,Brenda Miller,Brendam@gmail.com,East Ashley,0
115,Brett,Spradlin,Brett Spradlin,Bretts@gmail.com,East Carlyport,1
3158,Leslie,Ferguson,Leslie Ferguson,Leslief@gmail.com,South Lisa,3
1991,Joshua,Mckinney,Joshua Mckinney,Joshuam@gmail.com,Austinton,0
1759,Denise,Ransom,Denise Ransom,Deniser@gmail.com,East Christopher,0
546,Patrick,Kalama,Patrick Kalama,Patrickk@gmail.com,Chapmanbury,0
1794,Guadalupe,Peters,Guadalupe Peters,Guadalupep@gmail.com,West Jamesfort,3
1362,Dorothy,Hill,Dorothy Hill,Dorothyh@gmail.com,Stevenshire,3
3460,Tamara,Weaver,Tamara Weaver,Tamaraw@gmail.com,Amberville,2
1930,Matthew,Gomez,Matthew Gomez,Matthewg@gmail.com,South Barbaraberg,0
214,Heather,Pelter,Heather Pelter,Heatherp@gmail.com,East Ebonyfurt,1
2378,Debra,Marquardt,Debra Marquardt,Debram@gmail.com,Nelsonmouth,0
3514,Anitra,Melendez,Anitra Melendez,Anitram@gmail.com,Mcfarlandview,2
139,Eleanore,Cannon,Eleanore Cannon,Eleanorec@gmail.com,North Jason,1
